model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
UKESM1-0-LL,1989,4,30,historical,5.9523246144,2.774786976,2.1420304416000002,2.4355326
UKESM1-0-LL,1989,5,31,historical,8.200243008,3.8917608192,3.3629086656,2.7663515
UKESM1-0-LL,1989,6,30,historical,7.6478440896,4.3395846336,3.7545145919999996,2.859334
UKESM1-0-LL,1989,7,31,historical,5.396475744,2.4092437824,2.9741456447999997,2.787306
UKESM1-0-LL,1989,8,31,historical,3.798584208,1.7522971488,2.1114534816,2.651084
UKESM1-0-LL,1989,9,30,historical,3.358323072,1.4085104256,1.7040056832,2.5820317
UKESM1-0-LL,1989,10,31,historical,2.9848761792,0.9667325376,1.308059712,2.5395818
UKESM1-0-LL,1989,11,30,historical,1.1525950944,0.5525982432,0.44592686784,2.412607
UKESM1-0-LL,1989,12,31,historical,0.11726580383999999,0.36108285407999996,0.050951928960000004,2.232684
UKESM1-0-LL,1990,1,31,historical,0.48643756415999995,1.0609019712,0.18015529248,2.0929956
UKESM1-0-LL,1990,2,28,historical,0.3019263552,1.0982104416,0.09714562848,1.9661493
UKESM1-0-LL,1990,3,31,historical,0.956219904,1.0967109696,0.31284361728,1.8752197
UKESM1-0-LL,1990,4,30,historical,4.6400639616,1.232607456,1.5447297887999998,2.1952555
UKESM1-0-LL,1990,5,31,historical,8.572196304,3.5066122560000004,3.3367518432,2.6707735
UKESM1-0-LL,1990,6,30,historical,8.3267616384,2.5699120992,3.6316233792,2.8637466
UKESM1-0-LL,1990,7,31,historical,6.347210112,2.749882176,3.194516448,2.845088
UKESM1-0-LL,1990,8,31,historical,3.0181466592,1.942798176,1.7965433664000001,2.6860628
UKESM1-0-LL,1990,9,30,historical,3.00625344,1.6917049152,1.53929808,2.5637589
UKESM1-0-LL,1990,10,31,historical,3.8507618592,1.7446681152,1.5357903264000001,2.5835533
UKESM1-0-LL,1990,11,30,historical,1.83126096,0.56126611584,0.62990880768,2.5020428
UKESM1-0-LL,1990,12,31,historical,0.6871967424000001,0.5966975289600001,0.31199411520000003,2.3646276
UKESM1-0-LL,1991,1,31,historical,0.3396922704,0.7666813728,0.1115358336,2.2210047
UKESM1-0-LL,1991,2,28,historical,0.55047529152,1.1092497696,0.179861904,2.0849211
UKESM1-0-LL,1991,3,31,historical,3.0405997728,1.709031744,1.0780917696,2.1619565
UKESM1-0-LL,1991,4,30,historical,4.5366267456000005,1.2201242112000001,1.5281237952,2.416847
UKESM1-0-LL,1991,5,31,historical,6.5939895936,1.9849807296,2.4520655232,2.6613
UKESM1-0-LL,1991,6,30,historical,8.93803248,4.238106624,4.337091648,2.850167
UKESM1-0-LL,1991,7,31,historical,5.255184096,1.6056043776,2.830067424,2.8120308
UKESM1-0-LL,1991,8,31,historical,3.8693719007999996,1.7279377055999998,2.0844215999999998,2.718622
UKESM1-0-LL,1991,9,30,historical,4.694678784,1.29923784,2.1347108064,2.6794279
UKESM1-0-LL,1991,10,31,historical,3.4043895647999998,1.4811520032,1.4419799711999999,2.6380613
UKESM1-0-LL,1991,11,30,historical,1.8332233632000001,1.833853392,0.6870159072,2.5390382
