model,year,month,days_in_mo,scenario,gpp_gCm2d,rh_gCm2d,ra_gCm2d,lai_m2_m2
CESM2,1997,10,31,historical,1.2807457776,1.3463532288000002,0.769732416,1.2234963
CESM2,1997,11,30,historical,0.6962559551999999,1.0218076128,0.5091660863999999,1.1367657
CESM2,1997,12,31,historical,0.28816078752,0.7078745952000001,0.26276311008000003,1.0630702
CESM2,1998,1,31,historical,0.12226046687999999,0.3313765296,0.14883370272,0.76613003
CESM2,1998,2,28,historical,3.3041479392e-5,0.2177771616,1.8310185216e-5,2.1893565e-4
CESM2,1998,3,31,historical,1.5881301504e-4,1.0913430240000002,3.497445216e-5,2.1858205e-4
CESM2,1998,4,30,historical,0.16160945472,1.426530528,0.058709951712000004,0.032566756
CESM2,1998,5,31,historical,5.031418896,1.4075444736,1.872934272,1.7861271
CESM2,1998,6,30,historical,8.932638528,1.3389679296,4.1164539552,3.4815257
CESM2,1998,7,31,historical,8.243489664,0.6125753088,5.045045472,3.7298553
CESM2,1998,8,31,historical,3.5356835232000003,0.41287822848,1.9638986112,2.89143
CESM2,1998,9,30,historical,0.4495031712,1.9413729216000002,0.40642646400000004,0.3229815
CESM2,1998,10,31,historical,1.5212710656000001,1.4494530527999998,1.3357338048,1.8674836
CESM2,1998,11,30,historical,0.7713456336,1.0308917952,0.7232378976,1.9838864
CESM2,1998,12,31,historical,0.4402541376,1.010526192,0.5494254624,1.901743
CESM2,1999,1,31,historical,0.5224118112,1.038374208,0.5789492928,1.7420822
CESM2,1999,2,28,historical,0.62007943392,0.9088088975999999,0.44199186624,1.541422
CESM2,1999,3,31,historical,1.0551451392,1.0696914432,0.57330955008,1.3158319
CESM2,1999,4,30,historical,1.9440310176000002,1.1627912448,0.7758340704000001,1.1427832
CESM2,1999,5,31,historical,4.890392928,1.3851546048,1.846332144,1.470459
CESM2,1999,6,30,historical,7.753237488,1.2918184992,3.216115584,2.4624507
CESM2,1999,7,31,historical,7.340217408,1.238470776,3.5568523008,2.6344712
CESM2,1999,8,31,historical,4.8469230144,1.1385722016,2.3527370592000003,2.1146283
CESM2,1999,9,30,historical,2.268830304,1.615851072,0.46453443839999997,1.0948457
CESM2,1999,10,31,historical,1.2847812191999999,1.4211875520000001,0.6779278368,0.79298383
CESM2,1999,11,30,historical,0.56936557152,1.2450359232000001,0.3929291856,0.80102324
CESM2,1999,12,31,historical,0.25795570176,0.7095062592,0.23679976319999999,0.7948611
CESM2,2000,1,31,historical,0.08260306560000001,0.46060272,0.10253846591999999,0.4191112
CESM2,2000,2,29,historical,0.22237212096,1.1362097664,0.19940549759999998,0.60214907
CESM2,2000,3,31,historical,1.5471177120000001,1.328540832,0.8527618656,1.6948849
CESM2,2000,4,30,historical,1.9627946784,1.1867427936,0.9400866912,1.7514155
CESM2,2000,5,31,historical,4.7308279392,1.480349952,2.2453609536,2.0750875
CESM2,2000,6,30,historical,9.6847208064,1.2651106176,4.587604128000001,3.09235
CESM2,2000,7,31,historical,8.59249296,1.2342673728,4.274406288,3.1697662
CESM2,2000,8,31,historical,3.2529140352,0.61218146304,2.6915023008000003,2.2155693
CESM2,2000,9,30,historical,2.097013104,0.6173613504000001,0.8361487008,1.3278912
CESM2,2000,10,31,historical,1.2254100768,1.0315617408,0.9173246976,1.0872679
CESM2,2000,11,30,historical,0.5099050656,1.169890992,0.3987212256,1.0123013
CESM2,2000,12,31,historical,0.23301705888,0.6383212992,0.23086904256000002,0.9493863
CESM2,2001,1,31,historical,0.058487707584,0.7090459200000001,0.07682627952,0.25965777
CESM2,2001,2,28,historical,3.6832491072e-5,0.58626153216,1.992546e-5,2.071807e-4
CESM2,2001,3,31,historical,0.9794628864,1.1792034432,0.55545370272,1.1822376000000001
CESM2,2001,4,30,historical,2.2101995232,1.4790327840000002,1.3744207008,1.8375136
CESM2,2001,5,31,historical,5.7540167424,1.5543621792000002,2.9240605152,2.2063618
CESM2,2001,6,30,historical,9.635004863999999,1.2869620416,4.670957664,3.2610474
CESM2,2001,7,31,historical,8.730872064,1.1745362016,4.4911250496,3.2930062
CESM2,2001,8,31,historical,4.570519392,0.6668841888,3.0194935488,2.6914177
CESM2,2001,9,30,historical,2.213091072,1.1304201887999998,0.6875149536,1.5016373
CESM2,2001,10,31,historical,1.4168748960000002,1.4641369056,0.9639261792,1.2033526
CESM2,2001,11,30,historical,0.60861277152,1.4196476448000002,0.46399087008,1.1100494
CESM2,2001,12,31,historical,0.32301723456000003,0.9788437872,0.3022682832,1.0328945
CESM2,2002,1,31,historical,0.14997019968,0.19855757663999998,0.17333383104000002,0.7753366
CESM2,2002,2,28,historical,4.124248704e-5,0.408532032,2.053105056e-5,2.13171e-4
CESM2,2002,3,31,historical,0.8720655263999999,1.3066098336,0.49465527552,1.2527499
CESM2,2002,4,30,historical,2.2315276224,1.6578773279999999,1.3732436736,1.8907571
CESM2,2002,5,31,historical,5.9140368,1.787804352,2.9094187392,2.3020911
